Country,Year,Population
Andorra,2013,76246
Andorra,2016,71732
Andorra,2018,74794
Andorra,2019,76177
Andorra,2020,77543
Andorra,2022,79535
Andorra,2023,81588
Andorra,2024,85101
Albania,2013,2897770
Albania,2014,2892394
Albania,2015,2885796
Albania,2016,2875592
Albania,2017,2876591
Albania,2018,2870324
Albania,2019,2862427
Albania,2020,2845955
Albania,2021,2829741
Albania,2022,2793592
Albania,2023,2761785
Armenia,2013,3026878
Armenia,2014,3017079
Armenia,2015,3010598
Armenia,2016,2998577
Armenia,2017,2986151
Armenia,2018,2972732
Armenia,2019,2965269
Armenia,2020,2959694
Armenia,2021,2963251
Armenia,2023,2977130
Armenia,2024,2991202
Austria,2013,8451860
Austria,2014,8507786
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Austria,2024,9158750
Azerbaijan,2013,9356483
Azerbaijan,2014,9477119
Azerbaijan,2015,9593038
Azerbaijan,2016,9705643
Azerbaijan,2017,9809981
Azerbaijan,2018,9898085
Azerbaijan,2019,9981457
Azerbaijan,2020,10067108
Azerbaijan,2021,10119133
Azerbaijan,2022,10156366
Azerbaijan,2023,10127145
Azerbaijan,2024,10180770
Belgium,2013,11137974
Belgium,2014,11180840
Belgium,2015,11237274
Belgium,2016,11311117
Belgium,2017,11351727
Belgium,2018,11398589
Belgium,2019,11455519
Belgium,2020,11522440
Belgium,2021,11554767
Belgium,2022,11617623
Belgium,2023,11742796
Belgium,2024,11832049
Bulgaria,2013,7202556
Bulgaria,2014,7117453
Bulgaria,2015,7029690
Bulgaria,2016,6938759
Bulgaria,2017,6849518
Bulgaria,2018,6757418
Bulgaria,2019,6664177
Bulgaria,2020,6569275
Bulgaria,2021,6532117
Bulgaria,2022,6482484
Bulgaria,2023,6447710
Bulgaria,2024,6445481
Belarus,2013,9463840
Belarus,2014,9468154
Belarus,2015,9480868
Belarus,2016,9498364
Belarus,2017,9504704
Belarus,2018,9491823
Belarus,2019,9475174
Belarus,2020,9408350
Switzerland,2013,8039060
Switzerland,2014,8139631
Switzerland,2015,8237666
Switzerland,2016,8327126
Switzerland,2017,8419550
Switzerland,2018,8484130
Switzerland,2019,8544527
Switzerland,2020,8606033
Switzerland,2021,8670300
Switzerland,2022,8738791
Switzerland,2023,8815385
Switzerland,2024,8960800
Cyprus,2013,865878
Cyprus,2014,858000
Cyprus,2015,847008
Cyprus,2016,848319
Cyprus,2017,854802
Cyprus,2018,864236
Cyprus,2019,875899
Cyprus,2020,888005
Cyprus,2021,896007
Cyprus,2022,904705
Cyprus,2023,920701
Cyprus,2024,933505
Czechia,2013,10516125
Czechia,2014,10512419
Czechia,2015,10538275
Czechia,2016,10553843
Czechia,2017,10578820
Czechia,2018,10610055
Czechia,2019,10649800
Czechia,2020,10693939
Czechia,2021,10494836
Czechia,2022,10516707
Czechia,2023,10827529
Czechia,2024,10900555
Germany,2013,80523746
Germany,2014,80767463
Germany,2015,81197537
Germany,2016,82175684
Germany,2017,82521653
Germany,2018,82792351
Germany,2019,83019213
Germany,2020,83166711
Germany,2021,83155031
Germany,2022,83237124
Germany,2023,84358845
Germany,2024,83445000
Denmark,2013,5602628
Denmark,2014,5627235
Denmark,2015,5659715
Denmark,2016,5707251
Denmark,2017,5748769
Denmark,2018,5781190
Denmark,2019,5806081
Denmark,2020,5822763
Denmark,2021,5840045
Denmark,2022,5873420
Denmark,2023,5932654
Denmark,2024,5961249
Estonia,2013,1320174
Estonia,2014,1315819
Estonia,2015,1314870
Estonia,2016,1315944
Estonia,2017,1315635
Estonia,2018,1319133
Estonia,2019,1324820
Estonia,2020,1328976
Estonia,2021,1330068
Estonia,2022,1331796
Estonia,2023,1365884
Estonia,2024,1374687
Greece,2013,11003615
Greece,2014,10926807
Greece,2015,10858018
Greece,2016,10783748
Greece,2017,10768193
Greece,2018,10741165
Greece,2019,10724599
Greece,2020,10718565
Greece,2021,10678632
Greece,2022,10459782
Greece,2023,10413982
Greece,2024,10397193
Spain,2013,46712650
Spain,2014,46495744
Spain,2015,46425722
Spain,2016,46418884
Spain,2017,46497393
Spain,2018,46645070
Spain,2019,46918951
Spain,2020,47318050
Spain,2021,47400798
Spain,2022,47486843
Spain,2023,48085361
Spain,2024,48610458
Finland,2013,5426674
Finland,2014,5451270
Finland,2015,5471753
Finland,2016,5487308
Finland,2017,5503297
Finland,2018,5513130
Finland,2019,5517919
Finland,2020,5525292
Finland,2021,5533793
Finland,2022,5548241
Finland,2023,5563970
Finland,2024,5603851
France,2013,65600350
France,2014,66165980
France,2015,66458153
France,2016,66638391
France,2017,66809816
France,2018,67026224
France,2019,67290471
France,2020,67473651
France,2021,67728568
France,2022,67957053
France,2023,68172977
France,2024,68401997
Georgia,2014,4490498
Georgia,2015,3729500
Georgia,2016,3720400
Georgia,2017,3718200
Georgia,2018,3729633
Georgia,2019,3723464
Georgia,2020,3716858
Georgia,2021,3728573
Georgia,2022,3688647
Georgia,2023,3736357
Croatia,2013,4247803
Croatia,2014,4217632
Croatia,2015,4180915
Croatia,2016,4131115
Croatia,2017,4078769
Croatia,2018,4014341
Croatia,2019,3968676
Croatia,2020,3933511
Croatia,2021,3893026
Croatia,2022,3862305
Croatia,2023,3850894
Croatia,2024,3861967
Hungary,2013,9895250
Hungary,2014,9850217
Hungary,2015,9815858
Hungary,2016,9779652
Hungary,2017,9739857
Hungary,2018,9713655
Hungary,2019,9700272
Hungary,2020,9689376
Hungary,2021,9651461
Hungary,2022,9610403
Hungary,2023,9599744
Hungary,2024,9584627
Ireland,2013,4609779
Ireland,2014,4637852
Ireland,2015,4677627
Ireland,2016,4726286
Ireland,2017,4799157
Ireland,2018,4855733
Ireland,2019,4940311
Ireland,2020,5012600
Ireland,2021,5066893
Ireland,2022,5154277
Ireland,2023,5271395
Ireland,2024,5343805
Iceland,2013,321857
Iceland,2014,325671
Iceland,2015,329100
Iceland,2016,332529
Iceland,2017,338349
Iceland,2018,348450
Iceland,2019,356991
Iceland,2020,364134
Iceland,2021,368792
Iceland,2022,376248
Iceland,2023,387758
Iceland,2024,398940
Italy,2013,60277309
Italy,2014,60345917
Italy,2015,60295497
Italy,2016,60163712
Italy,2017,60066734
Italy,2018,59937769
Italy,2019,59816673
Italy,2020,59641488
Italy,2021,59236213
Italy,2022,59030133
Italy,2023,58997201
Italy,2024,58989749
Liechtenstein,2013,36838
Liechtenstein,2014,37129
Liechtenstein,2015,37366
Liechtenstein,2016,37622
Liechtenstein,2017,37810
Liechtenstein,2018,38114
Liechtenstein,2019,38378
Liechtenstein,2020,38747
Liechtenstein,2021,39055
Liechtenstein,2022,39308
Liechtenstein,2023,39677
Liechtenstein,2024,40023
Lithuania,2013,2974637
Lithuania,2014,2947862
Lithuania,2015,2926644
Lithuania,2016,2895573
Lithuania,2017,2859077
Lithuania,2018,2826200
Lithuania,2019,2812200
Lithuania,2020,2809977
Lithuania,2021,2810761
Lithuania,2022,2805998
Lithuania,2023,2857279
Lithuania,2024,2885891
Luxembourg,2013,537039
Luxembourg,2014,549680
Luxembourg,2015,562958
Luxembourg,2016,576249
Luxembourg,2017,590667
Luxembourg,2018,602005
Luxembourg,2019,613894
Luxembourg,2020,626108
Luxembourg,2021,634730
Luxembourg,2022,645397
Luxembourg,2023,660809
Luxembourg,2024,672050
Latvia,2013,2023825
Latvia,2014,2001468
Latvia,2015,1986096
Latvia,2016,1968957
Latvia,2017,1950116
Latvia,2018,1934379
Latvia,2019,1919968
Latvia,2020,1907675
Latvia,2021,1893223
Latvia,2022,1875757
Latvia,2023,1883008
Latvia,2024,1871882
Moldova,2013,3559497
Moldova,2014,3557634
Moldova,2015,3555159
Moldova,2016,2846327
Moldova,2017,2825628
Moldova,2018,2780744
Moldova,2019,2729634
Moldova,2020,2684772
Moldova,2021,2643675
Moldova,2022,2565030
Moldova,2023,2512758
Moldova,2024,2423287
Montenegro,2013,620893
Montenegro,2014,621521
Montenegro,2015,622099
Montenegro,2016,622218
Montenegro,2017,622387
Montenegro,2018,622359
Montenegro,2019,622182
Montenegro,2020,621873
Montenegro,2021,620739
Montenegro,2022,617683
Montenegro,2023,616695
North Macedonia,2013,2062294
North Macedonia,2014,2065769
North Macedonia,2015,2069172
North Macedonia,2016,2071278
North Macedonia,2017,2073702
North Macedonia,2018,2075301
North Macedonia,2019,2077132
North Macedonia,2020,2076255
North Macedonia,2021,2068808
North Macedonia,2022,1837114
North Macedonia,2023,1829954
North Macedonia,2024,1826247
Malta,2013,421464
Malta,2014,428156
Malta,2015,438805
Malta,2016,449635
Malta,2017,459375
Malta,2018,474837
Malta,2019,492968
Malta,2020,514855
Malta,2021,516125
Malta,2022,520174
Malta,2023,542051
Malta,2024,563443
Netherlands,2013,16779575
Netherlands,2014,16829289
Netherlands,2015,16900726
Netherlands,2016,16979120
Netherlands,2017,17081507
Netherlands,2018,17181084
Netherlands,2019,17282163
Netherlands,2020,17407585
Netherlands,2021,17475415
Netherlands,2022,17590672
Netherlands,2023,17811291
Netherlands,2024,17942942
Norway,2013,5051275
Norway,2014,5109056
Norway,2015,5165802
Norway,2016,5213985
Norway,2017,5258317
Norway,2018,5295619
Norway,2019,5328212
Norway,2020,5367580
Norway,2021,5391369
Norway,2022,5425270
Norway,2023,5488984
Norway,2024,5550203
Poland,2013,38062535
Poland,2014,38017856
Poland,2015,38005614
Poland,2016,37967209
Poland,2017,37972964
Poland,2018,37976687
Poland,2019,37972812
Poland,2020,37958138
Poland,2021,37073357
Poland,2022,36889761
Poland,2023,36753736
Poland,2024,36620970
Portugal,2013,10503889
Portugal,2014,10444092
Portugal,2015,10395121
Portugal,2016,10368554
Portugal,2017,10344478
Portugal,2018,10335770
Portugal,2019,10333496
Portugal,2020,10375395
Portugal,2021,10394297
Portugal,2022,10421117
Portugal,2023,10516621
Portugal,2024,10639726
Romania,2013,20020074
Romania,2014,19947311
Romania,2015,19870647
Romania,2016,19760585
Romania,2017,19643949
Romania,2018,19533481
Romania,2019,19414458
Romania,2020,19328838
Romania,2021,19201662
Romania,2022,19042455
Romania,2023,19054548
Romania,2024,19064409
Serbia,2013,7181505
Serbia,2014,7146759
Serbia,2015,7114393
Serbia,2016,7076372
Serbia,2017,7040272
Serbia,2018,7001444
Serbia,2019,6963764
Serbia,2020,6926705
Serbia,2021,6871547
Serbia,2022,6797105
Serbia,2023,6641197
Serbia,2024,6605168
Sweden,2013,9555893
Sweden,2014,9644864
Sweden,2015,9747355
Sweden,2016,9851017
Sweden,2017,9995153
Sweden,2018,10120242
Sweden,2019,10230185
Sweden,2020,10327589
Sweden,2021,10379295
Sweden,2022,10452326
Sweden,2023,10521556
Sweden,2024,10551707
Slovenia,2013,2058821
Slovenia,2014,2061085
Slovenia,2015,2062874
Slovenia,2016,2064188
Slovenia,2017,2065895
Slovenia,2018,2066880
Slovenia,2019,2080908
Slovenia,2020,2095861
Slovenia,2021,2108977
Slovenia,2022,2107180
Slovenia,2023,2116972
Slovenia,2024,2123949
Slovakia,2013,5410836
Slovakia,2014,5415949
Slovakia,2015,5421349
Slovakia,2016,5426252
Slovakia,2017,5435343
Slovakia,2018,5443120
Slovakia,2019,5450421
Slovakia,2020,5457873
